PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,
Jeff Teague (10005424),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Klay Thompson (10005404),Paul George (10005395),Dario Saric (10005412),,1. Locate the player you want to select in the list below ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Paul George (10005395),Doug McDermott (10005614),,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,
Jeff Teague (10005424),Marcus Smart (10005491),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Kentavious Caldwell-Pope (10005466),Andrew Wiggins (10005439),Russell Westbrook (10005340),,3. Paste the ID into the roster position desired ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Paul George (10005395),Jae Crowder (10005653),,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Dario Saric (10005412),Klay Thompson (10005404),Paul George (10005395),Russell Westbrook (10005340),,5. You can create up to 500 lineups per file ,,,,,,,
Russell Westbrook (10005340),Marcus Smart (10005491),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Kentavious Caldwell-Pope (10005466),Jayson Tatum (10005453),Klay Thompson (10005404),,,,,,,,,
Jeff Teague (10005424),Marcus Smart (10005491),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Klay Thompson (10005404),Paul George (10005395),Dario Saric (10005412),,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,SF/PF,Jeff Green (10005560),Jeff Green,10005560,SF,4100,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,PG,T.J. McConnell (10005564),T.J. McConnell,10005564,PG,4000,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,SG/SF,J.R. Smith (10005567),J.R. Smith,10005567,SG,4000,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,SG,Jamal Crawford (10005572),Jamal Crawford,10005572,SG,3900,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,PF/C,Kyle O'Quinn (10005575),Kyle O'Quinn,10005575,PF,3900,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,PG/SG,Frank Ntilikina (10005579),Frank Ntilikina,10005579,PG,3900,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,SG/SF,Andre Iguodala (10005583),Andre Iguodala,10005583,SG,3900,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,PG/SG,Jerryd Bayless (10005593),Jerryd Bayless,10005593,PG,3800,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,PG/SG,Markelle Fultz (10005597),Markelle Fultz,10005597,PG,3800,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,C,Nene Hilario (10005591),Nene Hilario,10005591,C,3800,HOU@OKC 12/25/2017 08:00PM ET,HOU
,,,,,,,,,PG,Jose Calderon (10005588),Jose Calderon,10005588,PG,3800,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,PG/SG,Tomas Satoransky (10005601),Tomas Satoransky,10005601,PG,3700,WAS@BOS 12/25/2017 05:30PM ET,WAS
,,,,,,,,,PG,Tim Frazier (10005605),Tim Frazier,10005605,PG,3700,WAS@BOS 12/25/2017 05:30PM ET,WAS
,,,,,,,,,C,Aron Baynes (10005608),Aron Baynes,10005608,C,3700,WAS@BOS 12/25/2017 05:30PM ET,BOS
,,,,,,,,,PG/SG,Josh Hart (10005627),Josh Hart,10005627,PG,3700,MIN@LAL 12/25/2017 10:30PM ET,LAL
,,,,,,,,,PF/C,Amir Johnson (10005610),Amir Johnson,10005610,PF,3700,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,SF/PF,Doug McDermott (10005614),Doug McDermott,10005614,SF,3700,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,SF/PF,Jerami Grant (10005618),Jerami Grant,10005618,SF,3700,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,PG/SF,Patrick McCaw (10005622),Patrick McCaw,10005622,PG,3700,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,PG/SG,Shaun Livingston (10005631),Shaun Livingston,10005631,PG,3600,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,SG/SF,Kyle Korver (10005635),Kyle Korver,10005635,SG,3600,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,SG/SF,Corey Brewer (10005640),Corey Brewer,10005640,SG,3500,MIN@LAL 12/25/2017 10:30PM ET,LAL
,,,,,,,,,PF/C,Guillermo Hernangomez (10005645),Guillermo Hernangomez,10005645,PF,3500,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,PF/C,David West (10005649),David West,10005649,PF,3500,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,SF/PF,Jae Crowder (10005653),Jae Crowder,10005653,SF,3500,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,PF/C,Tristan Thompson (10005657),Tristan Thompson,10005657,PF,3500,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,C,Ian Mahinmi (10005661),Ian Mahinmi,10005661,C,3400,WAS@BOS 12/25/2017 05:30PM ET,WAS
,,,,,,,,,PF/C,Daniel Theis (10005663),Daniel Theis,10005663,PF,3400,WAS@BOS 12/25/2017 05:30PM ET,BOS
,,,,,,,,,PG/SG,Tyus Jones (10005667),Tyus Jones,10005667,PG,3400,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,PF/C,Gorgui Dieng (10005671),Gorgui Dieng,10005671,PF,3400,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,SG/SF,Damyean Dotson (10005675),Damyean Dotson,10005675,SG,3400,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,SG/SF,Andre Roberson (10005680),Andre Roberson,10005680,SG,3400,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,SF/PF,Kevon Looney (10005685),Kevon Looney,10005685,SF,3400,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,PG/SG,Iman Shumpert (10005689),Iman Shumpert,10005689,PG,3400,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,PG,Derrick Rose (10005693),Derrick Rose,10005693,PG,3400,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,PG,Shane Larkin (10005704),Shane Larkin,10005704,PG,3300,WAS@BOS 12/25/2017 05:30PM ET,BOS
,,,,,,,,,SF/PF,Nemanja Bjelica (10005707),Nemanja Bjelica,10005707,SF,3300,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,SG/SF,Shabazz Muhammad (10005711),Shabazz Muhammad,10005711,SG,3300,MIN@LAL 12/25/2017 10:30PM ET,MIN
,,,,,,,,,SF/PF,Lance Thomas (10005696),Lance Thomas,10005696,SF,3300,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,SG/SF,Timothe Luwawu-Cabarrot (10005716),Timothe Luwawu-Cabarrot,10005716,SG,3300,PHI@NY 12/25/2017 12:00PM ET,PHI
,,,,,,,,,PG/SG,Ron Baker (10005721),Ron Baker,10005721,PG,3300,PHI@NY 12/25/2017 12:00PM ET,NY
,,,,,,,,,SG/SF,Alex Abrines (10005725),Alex Abrines,10005725,SG,3300,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,PF/C,Channing Frye (10005700),Channing Frye,10005700,PF,3300,CLE@GS 12/25/2017 03:00PM ET,CLE
,,,,,,,,,C,Zaza Pachulia (10005730),Zaza Pachulia,10005730,C,3300,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,SG,Nick Young (10005732),Nick Young,10005732,SG,3300,CLE@GS 12/25/2017 03:00PM ET,GS
,,,,,,,,,SG/SF,Semi Ojeleye (10005735),Semi Ojeleye,10005735,SG,3200,WAS@BOS 12/25/2017 05:30PM ET,BOS
,,,,,,,,,C,Ivica Zubac (10005740),Ivica Zubac,10005740,C,3200,MIN@LAL 12/25/2017 10:30PM ET,LAL
,,,,,,,,,PF/C,Patrick Patterson (10005742),Patrick Patterson,10005742,PF,3200,HOU@OKC 12/25/2017 08:00PM ET,OKC
,,,,,,,,,SF/PF,Luc Richard Mbah a Moute (10005746),Luc Richard Mbah a Moute,10005746,SF,3200,HOU@OKC 12/25/2017 08:00PM ET,HOU
,,,,,,,,,C,JaVale McGee (10005750),JaVale McGee,10005750,C,3200,CLE@GS 12/25/2017 03:00PM ET,GS
